Store,Name,Location,Price_USD,Calories_per_serving
Costco,Bibigo,Pantry,17.03,14.0
Costco,Centrex 27 Gallon Plastic Storage Tote Tough Box,Pantry,11.31,Unknown
Costco,Charmin Ultra Soft Toilet Paper Jumbo Rolls 30,Pantry,38.43,N/A
Costco,Crest 3D White Advanced Whitening Toothpaste 26,Pantry,19.89,Unknown
Costco,Crest Complete Plus Scope Advanced,Pantry,18.65,Unknown
Costco,Cuisine Solutions Sliced Grass Fed Beef Sirloin,Freezer,32.8,120.0
Costco,Cut Peeled Organic Baby Carrots 2,Pantry,7.45,34.594
Costco,Degree,Pantry,18.65,200.0
Costco,Dove,Pantry,23.0,469.0
Costco,Grandeur 30 X 54 Hospitality 100 Cotton Bath Towel 6,Pantry,31.09,Unknown
Costco,Honey Nut Cheerios,Pantry,11.18,140.0
Costco,Hot Pot Beef Chuck Rolls 16,Fridge,16.16,Unknown
Costco,Kirkland Signature,Pantry,25.49,Unknown
Costco,Kirkland Signature Ground Beef 88,Fridge,34.96,210.0
Costco,Kirkland Signature Mexican Blend Shred 2 X 2 5,Pantry,18.65,Unknown
Costco,Kirkland Signature Pate Cat Food Variety,Pantry,38.55,Unknown
Costco,Kirkland Signature Ultra Soft Bath Tissue 2 Ply 231 Sheets 36,Pantry,27.36,N/A
Costco,Natural Kosher Natural Kosher 2,Pantry,14.29,129.0
Costco,Nexxus Therappe,Pantry,37.31,Unknown
Costco,Oats Overnight Variety,Pantry,35.84,Unknown
Costco,Poo Pourri Before You Go Toilet Spray 3 4,Pantry,23.65,Unknown
Costco,Premium,Pantry,22.38,Unknown
Costco,Reds Carne Asada,Pantry,22.38,340.0
Costco,Righteous Felon Craft Jerky Hickory Beef Stick 1,Fridge,18.65,100.0
Costco,Rxbar Protein Bars Variety Box 1 8,Pantry,22.38,Unknown
Costco,Samyang Buldak Carbonara Ramen Bowl 3 7,Pantry,14.29,Unknown
Costco,Scotch Precision Ultra Edge Scissors 3,Pantry,11.7,Unknown
Costco,Tattooed Chef Acai Blend With Fruit Granola Organic Bowls 6 25,Pantry,17.03,Unknown
Costco,Tempur Pedic Serenity Cooling Memory Foam Pillow 1,Pantry,37.31,Unknown
Costco,Usps First Class,Pantry,72.75,Unknown
Safeway,4 Zero Sugar Mango Dragonfruit Juice 15 2,Freezer,1.99,Unknown
Safeway,Bounce Dryer Sheets Outdoor Fresh 105 0,Fridge,5.99,N/A
Safeway,Burt S Bees Superfruit Moisturizing Lip Balms Variety,Pantry,11.99,Unknown
Safeway,Carbone Pizza Sauce 14,Pantry,9.79,Unknown
Safeway,Catalina Crunch Cinnamon Toast Keto Friendly,Pantry,9.79,110.0
Safeway,Chef Counter Sirloin,Fridge,9.99,260.0
Safeway,Chefs Counter Beef Tips Balsamic Peppercorn 16,Fridge,13.99,Unknown
Safeway,Chefs Counter Sirloin,Fridge,9.99,260.0
Safeway,Clif Kid Organic Chocolate Brownie Baked Whole Grain Energy Snack Bars 1 27,Pantry,12.99,Unknown
Safeway,Clio Yogurt Bar Greek Vanilla 4,Fridge,6.99,100.0
Safeway,Hot Tamales,Pantry,1.49,110.0
Safeway,Hot Tamales Candies Fierce Cinnamon Chewy 10,Pantry,1.99,Unknown
Safeway,Kellogg S Special K,Pantry,8.99,392.0
Safeway,Mike And Ike Candy Original Fruits Assorted 10,Pantry,1.99,Unknown
Safeway,Mike And Ike Mega Mix Sour Candy,Pantry,1.49,Unknown
Safeway,Oreo,Pantry,6.99,51.92
Safeway,Oreo Chocolate Sandwich Cookies Mint,Pantry,6.99,140.0
Safeway,Purell Advanced Hand Sanitizer Refreshing Gel Pump Travel Size 2 0,Fridge,2.39,N/A
Safeway,Purina Cat Chow Natural Dry Cat Food Naturals Original 50 4,Pantry,9.99,Unknown
Safeway,Quilted Northern Bathroom Tissue Unscented Mega Roll 3 Ply 255,Pantry,8.49,N/A
Safeway,Raid Ant Baits 4,Pantry,8.99,Unknown
Safeway,Red Vines Original Red Licorice Twists 5,Freezer,1.99,100.0
Safeway,Sartori Aged Sharp Old World Cheddar Cheese 7 0,Fridge,9.99,Unknown
Safeway,Sartori Extra Sharp Rich Farmhouse Cheddar Cheese 7 0,Fridge,9.99,Unknown
Safeway,Stur Strawberry Watermelon Liquid Water Enhancer 1 62,Pantry,5.99,Unknown
Safeway,Sukhi S Chicken Tikka Masala 16,Fridge,14.99,Unknown
Safeway,Wild Wonder Guava Rose Prebiotic Probiotic Sparkling Superherb Infusion 13 5,Pantry,3.39,Unknown
Safeway,Wild Wonder Mango Turmeric Prebiotic Probiotic Sparkling Superherb Infusion 13 5,Pantry,3.39,Unknown
Safeway,Wild Wonder Straw Passion 12,Pantry,3.39,Unknown
Safeway,Windwonder Raspberry Lychee 12,Pantry,3.39,Unknown
Target,Bounce Dryer Sheets Outdoor Fresh 105 0,Fridge,6.59,N/A
Target,Burt S Bees Superfruit Moisturizing Lip Balms Variety,Pantry,12.99,Unknown
Target,Catalina Crunch Cinnamon Toast Keto Friendly,Pantry,6.99,110.0
Target,Ccffe Coffee Latte Om Van Rtd,Pantry,3.99,Unknown
Target,Ccffe Coffee Ltt Om Saltd Crml,Pantry,3.99,Unknown
Target,Cheetos Crunchy,Pantry,5.99,160.0
Target,Dr Pepper Zero Strawberries And,Pantry,9.59,Unknown
Target,Handi Snacks Oreo,Pantry,23.99,140.0
Target,Honey Stinger,Pantry,1.99,150.0
Target,Ice,Freezer,4.99,54.0
Target,International Delight Coffee,Fridge,5.99,35.0
Target,Kerrygold Grass Fed Salted Butter Foil 8,Fridge,6.99,N/A
Target,Lindt Lindor Milk Chocolate Candy,Fridge,6.99,Unknown
Target,Lumify Eye Drops Redness Reliever 0 08,Pantry,18.99,N/A
Target,Lumify Eye Drops Redness Reliever Sterile 0 25,Pantry,29.99,N/A
Target,Magnum Ice,Freezer,5.69,297.0
Target,Mission Gluten Free Soft Taco Tortillas 6,Pantry,8.59,Unknown
Target,Oikos Remix Smores,Pantry,1.69,Unknown
Target,Oreo,Pantry,6.99,51.92
Target,Oreo Sg 25 Le,Pantry,6.59,Unknown
Target,Pepperidge Farm Goldfish Cheddar Crackers 6 6,Fridge,2.99,140.0
Target,Purell Advanced Hand Sanitizer Refreshing Gel Pump Travel Size 2 0,Fridge,2.89,N/A
Target,Purell Hand Sanitizer Advanced Refreshing Gel 24,Fridge,9.99,N/A
Target,Purina Cat Chow Indoor Dry Cat Food Hairball,Pantry,29.99,Unknown
Target,Purina One Natural Dry Cat Food Tender,Pantry,13.99,Unknown
Target,Red Bull Sugar Free Red Edition Energy Drink 4,Pantry,8.99,7.5
Target,Sargento Natural String Cheese Snacks 12,Fridge,5.69,Unknown
Target,Tate S Bake Shop Cookies Gluten Free Chocolate Chip 7,Pantry,6.69,Unknown
Target,Temptations Crunchy And Soft Cat,Pantry,9.99,Unknown
Target,Tillamook Farmstyle Thick Cut Swiss Cheese Slices 8,Freezer,5.69,Unknown
